SDOH Category,Category,Product,Field Name,Field Description,Field Definition,PeopleCore Pop. Type,Opt-In State Pop. Type,Range,Var. Type,Added,Length
#N/A,People,DemoIQ,AIQ_HHID,Unique Household ID,This element is a unique household identifier.,Household,Household,,Char,2q09,9
#N/A,People,DemoIQ,AIQ_INDID,Unique Individual ID. Designed for Financial Services Advertising (FSA),This element is a unique individual identifier. Designed for Financial Services Advertising (FSA),Individual,Individual,,Char,2q09,2
#N/A,People,DemoIQ,PERSON_FIRST_NAME,Person Name (First),This element is an individual's first name.,Individual,Individual,,Char,2q09,30
#N/A,People,DemoIQ,PERSON_LAST_NAME,Person Name (Last). Designed for Financial Services Advertising (FSA),This element is an individual's last name. Designed for Financial Services Advertising (FSA),Individual,Individual,,Char,2q09,32
#N/A,People,DemoIQ,PERSON_SURNAME_SUFFIX,Person Name (Suffix),This element is an individual's name suffix.,Individual,Individual,,Char,2q09,6
#N/A,People,HousingIQ,PRIMARY_ADDRESS,Primary Street Address,This element indicates the household's primary street address.,Household,Household,,Char,2q09,32
#N/A,People,DemoIQ,SECONDARY_ADDRESS,Secondary Street Address,This element provides a household's secondary street address if available.,Household,Household,,Char,2q09,12
"Geography (e.g., urban vs rural)",People,DemoIQ,CITY,City Name,This element provides the household's city name.,Household,Household,,Char,1q07,30
"Geography (e.g., urban vs rural)",People,DemoIQ,STATE,State Name,This element indicates a household's state name.,Household,Household,,Char,2q09,2
"Geography (e.g., urban vs rural)",People,HousingIQ,ZIP5,Zip Code (5-Digit),This element indicates the household's 5-digit Zip Code.,Zip Code,Zip Code,,Char,1q07,5
"Geography (e.g., urban vs rural)",People,HousingIQ,ZIP4,Zip Code Extension (4-Digit),This element indicates the household's Zip Code Extension (4-digit) or Zip+4.,Zip+4,Zip+4,,Char,1q07,4
#N/A,#N/A,#N/A,PHONE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Housing Insecurity,People,HousingIQ,AIQ_HOME_AGE,Age of Home,This element indicates the age of the home.,Household,Household,0 to 400,Num,3q18,8
Housing Insecurity,People,HousingIQ,HOME_AGE_Z4,Average Age of Home in Zip+4,This element indicates the average age for a home in the Zip+4. Zip+4 Version,Zip+4,Zip+4,"0 to 1,000",Num,3q10,8
Housing Insecurity,People,HousingIQ,HOMEVALUEIQ,AIQ Multi-Sourced Home Value (in $'000). Designed for Financial Services Advertising (FSA),This element predicts the value of the home. Designed for Financial Services Advertising (FSA),Household,Household,"25 to 20,000",Num,2q09,8
Housing Insecurity,People,HousingIQ,HOMEVALUEIQ_Z4,AIQ Multi-Sourced Home Value (000s),This element predicts the average value in $'000 for households in the Zip+4. Zip+4 Level,Zip+4,Zip+4,0 to 55000,Num,3q10,8
Housing Insecurity,People,HousingIQ,HOMEVALUEIQ_EQUITY,Equity in Home (in $'000),This element predicts the amount of equity in the home in $'000.,HH/Ind,HH/Ind,"Neg. to 20,000",Num,1q14,8
Housing Insecurity,People,HousingIQ,HOMEVALUEIQ_EQUITY_Z4,Equity in Home (in $'000),This element predicts the average amount of equity in the home in $'000 for households in the Zip+4. Zip+4 Version,Zip+4,Zip+4,-$99999 to $62000,Num,1q14,8
Housing Insecurity,People,HousingIQ,AIQ_DWELLING,Type of Dwelling.,This element indicates the type of dwelling an individual resides between a single family unit or multi-family unit.,Household,Household,See tab,Char,2q09,1
Housing Insecurity,People,HousingIQ,DWELLINGTYPE_Z4,z4 Version of AIQ Dwelling,This element indicates the dominant type of dwelling for households in the Zip+4 between single family unit or multi-family unit. Zip+4 Version,Zip+4,Zip+4,See tab,Char,3q10,20
Housing Insecurity,People,HousingIQ,AIQ_HOMEOWNER_PROB_V2,AIQ Homeowner Probability Model. Designed for Financial Services Advertising (FSA),This element indicates the probability a household is owned by the individual/'s living at the residence. Designed for Financial Services Advertising (FSA),HH/Ind,HH/Ind,See tab,Char,3q16,2
Housing Insecurity,People,HousingIQ,HOMEOWNER_PCT_Z4,Homeowner Penetration (0-100),This element provides the penetration rate of homeowners in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,3q10,8
Housing Insecurity,People,HousingIQ,AFFORDABILITY_INDEX_SCF,Measure of Affordability Index compared to Sectional Center Facility average (100 = average),This element indicates the measure of the affordability index compared to the Sectional Center Facility Average (100 = average).,Household,Household,0 to 500,Num,1q15,4
Housing Insecurity,People,HousingIQ,AFFORDABILITY_INDEX_SCF_Z4,Measure of Affordability Index compared to Sectional Center Facility average (100 = average),This element indicates the measure of the affordability index compared to the Sectional Center Facility Average (100 = average) for households in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 500,Num,1q15,8
Housing Insecurity,People,HousingIQ,AFFORDABILITY_INDEX,"Measure of Home Value to Income, Indexed to 100 (higher index = less affordable)",This element indicates the measure of home value to income indexed to 100. (higher index = less affordable) Zip+4 Level,Household,Household,0 to 1700,Num,1q15,8
Housing Insecurity,People,HousingIQ,AFFORDABILITY_INDEX_Z4,"Measure of Home Value to Income, Indexed to 100 (higher index = less affordable)",This element indicates the measure of home value to income indexed to 100 for households in the Zip+4. (higher index = less affordable) Zip+4 Level,Zip+4,Zip+4,0 to 1700,Num,1q15,8
Housing Insecurity,People,HousingIQ,PREMOVER_V2,Likelihood of Relocating in 3 to 6 months (7=most likely; 1=least likely),This element predicts the likelihood of individuals in a household relocating/moving in the next 3 to 6 months.,Individual,Individual,1 to 7,Num,3q19,1
Housing Insecurity,People,HousingIQ,PREMOVER_V2_Z4,Average Likelihood of Relocating in 3 to 6 months (7=most likely; 1=least likely),This element predicts the average likelihood of individuals in the Zip+4 plan on relocating/moving in the next 3 to 6 months. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q19,1
Transportation Barrier,Predictors,AutoIQ,AUTO_AGE,Likely Age of Vehicle (1 = less than 2 years; 2-3 = 3 to 5 years; 4-5 = 6 to 9 years; 6 = 10 to 14 years; 7 = 15+ years),This element predicts the likely age of an individual's vehicle (1 = less than 2 years; 2-3 = 3 to 5 years; 4-5 = 6 to 9 years; 6 = 10 to 14 years; 7 = 15+ years).,Individual,Individual,1 to 7,Num,2q20,1
Transportation Barrier,Predictors,AutoIQ,AUTO_AGE_Z4,Average Likely Age of Vehicle (1 = less than 2 years; 2-3 = 3 to 5 years; 4-5 = 6 to 9 years; 6 = 10 to 14 years; 7 = 15+ years),This element predicts the likely average age of an individual's vehicle in the Zip+4 (1 = less than 2 years; 2-3 = 3 to 5 years; 4-5 = 6 to 9 years; 6 = 10 to 14 years; 7 = 15+ years). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,2q20,1
Transportation Barrier,Predictors,AutoIQ,AUTO_AVG_MILEAGE,Likely Mileage Put on Vehicle Per Year (1 = less than 2k; 2 = 2k to 4k; 3 = 5k to 9k; 4 = 10k to 11k; 5 = 12k to 14k; 6 = 14k to 19k; 7 = 20k+),This element predicts the number of miles an individual is likely to put on their vehicle per year. (1 = less than 2k; 2 = 2k to 4k; 3 = 5k to 9k; 4 = 10k to 11k; 5 = 12k to 14k; 6 = 14k to 19k; 7 = 20k+).,Individual,Individual,1 to 7,Num,2q20,1
Transportation Barrier,Predictors,AutoIQ,AUTO_AVG_MILEAGE_Z4,Average Likely Mileage Put on Vehicle Per Year (1 = less than 2k; 2 = 2k to 4k; 3 = 5k to 9k; 4 = 10k to 11k; 5 = 12k to 14k; 6 = 14k to 19k; 7 = 20k+),This element predicts the average number of miles an individual in the Zip+4 is likely to put on their vehicle per year. (1 = less than 2k; 2 = 2k to 4k; 3 = 5k to 9k; 4 = 10k to 11k; 5 = 12k to 14k; 6 = 14k to 19k; 7 = 20k+). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,2q20,1
Transportation Barrier,Predictors,AutoIQ,NUMBER_OF_AUTOS,Likely Number of Vehicles Owned (0 to 9),This element predicts the number of vehicles an individual is likely to own from 0 to 9.,Individual,Individual,0 to 9,Num,2q20,1
Transportation Barrier,Predictors,AutoIQ,NUMBER_OF_AUTOS_Z4,Average Likely Number of Vehicles Owned (0 to 9),This element predicts the average number of vehicles an individual in the Zip+4 is likely to own from 0 to 9. Zip+4 Version,Zip+4,Zip+4,0 to 9,Num,2q20,1
Transportation Barrier,Predictors,AutoIQ,AUTO_FAMILY_SHARED,Likelihood that Family Shares Vehicle (1=least likely; 7=most likely),This element predicts the likelihood of an individual owning a car that is used by multiple family members on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,2q20,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_ALDI,Likelihood of Purchasing from Aldi (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Aldi.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_ALDI_Z4,Average Likelihood of Purchasing from Aldi (7=most likely; 1=least likely),This element predicts the likelihood of an individual in the Zip+4 being in the market for products from Aldi. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_ALDI,Distance (in miles) from nearest Aldi store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Aldi store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_BILO_WINNDIXIE,Likelihood of Purchasing from BiLo/Winn Dixie (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from BiLo/Winn Dixie.,Individual,Individual,1 to 7,Num,1q20,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_BILO_WINNDIXIE_Z4,Average Likelihood of Purchasing from BiLo/Winn Dixie (7=most likely; 1=least likely),This element predicts the average likelihood of an individual in the Zip+4 being in the market for products from BiLo/Winn Dixie. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q20,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_COSTCO,Distance (in miles) from nearest Costco store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Costco store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_COSTCO,Likelihood of Purchasing from Costco (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Costco.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_COSTCO_Z4,Average Likelihood of Purchasing from Costco (7=most likely; 1=least likely),This element predicts the average likelihood of an individual in the Zip+4 being in the market for products from Costco. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_H_E_B,Likelihood of Purchasing from H-E-B (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from H-E-B.,Individual,Individual,1 to 7,Num,2q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_H_E_B_Z4,Average Likelihood of Purchasing from H-E-B (7=most likely; 1=least likely),This element predicts the average likelihood of an individual in the Zip+4 being in the market for products from H-E-B. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,2q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_KROGER,Likelihood of Purchasing from Kroger (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Kroger.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_KROGER_Z4,Average Likelihood of Purchasing from Kroger (7=most likely; 1=least likely),This element predicts the likelihood of an individual in the Zip+4 being in the market for products from Kroger. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_KROGER,Distance (in miles) from nearest Kroger store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Kroger store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_MEIJER,Likelihood of Purchasing from Meijer (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Meijer.,Individual,Individual,1 to 7,Num,3q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_MEIJER_Z4,Average Likelihood of Purchasing from Meijer (7=most likely; 1=least likely),This element predicts the average likelihood of an individual in the Zip+4 being in the market for products from Meijer. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_PUBLIX,Likelihood of Purchasing from Publix (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Publix.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_PUBLIX_Z4,Average Likelihood of Purchasing from Publix (7=most likely; 1=least likely),This element predicts the likelihood of an individual in the Zip+4 being in the market for products from Publix. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_PUBLIX,Distance (in miles) from nearest Publix store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Publix store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_SAFEWAY,Likelihood of Purchasing from Safeway (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Safeway.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_SAFEWAY_Z4,Average Likelihood of Purchasing from Safeway (7=most likely; 1=least likely),This element predicts the likelihood of an individual in the Zip+4 being in the market for products from Safeway. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_SAFEWAY,Distance (in miles) from nearest Safeway store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Safeway store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_SAMSCLUB,Likelihood of Purchasing from Sam's Club (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Sam's Club.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_SAMSCLUB_Z4,Average Likelihood of Purchasing from Sam's Club (7=most likely; 1=least likely),This element predicts the likelihood of an individual in the Zip+4 being in the market for products from Sam's Club. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_SAMS,Distance (in miles) from nearest Sam's Club store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Sam's Club store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_SPROUTS,Likelihood of Purchasing from Sprouts (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Sprouts.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_SPROUTS_Z4,Average Likelihood of Purchasing from Sprouts (7=most likely; 1=least likely),This element predicts the likelihood of an individual in the Zip+4 being in the market for products from Sprouts. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_SPROUTS,Distance (in miles) from nearest Sprouts store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Sprouts store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_TRADERJOES,Likelihood of Purchasing from Trader Joe's (7=most likely; 1=least likely),This element predicts the likelihood of an individual being in the market for products from Trader Joe's.,Individual,Individual,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_TRADERJOES_Z4,Average Likelihood of Purchasing from Trader Joe's (7=most likely; 1=least likely),This element predicts the likelihood of an individual in the Zip+4 being in the market for products from Trader Joe's. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q19,1
Food Insecurity,Predictors,InMarketIQ,DISTANCEIQ_TRADERJOE,Distance (in miles) from nearest Trader Joe's store location to the Zip+4,This element provides the distance in miles a Zip+4 is to the nearest Trader Joe's store location. Zip+4 Version,Zip+4,Zip+4,0 to 6000,Num,2q19,8
Food Insecurity,Predictors,InMarketIQ,INMARKET_WHOLE_FOODS,Likelihood of Purchasing from Whole Foods (7=most likely; 1=least likely),This element predicts the likelihood of an individual purchasing products from Whole Foods on a scale from 1 to 7 (7=most likely; 1=least likely).,Individual,Individual,1 to 7,Num,3q18,1
Food Insecurity,Predictors,InMarketIQ,INMARKET_WHOLE_FOODS_Z4,Average Likelihood of Purchasing from Whole Foods (7=most likely; 1=least likely),This element predicts the average likelihood of an individual in the Zip+4 purchasing products from Whole Foods on a scale from 1 to 7 (7=most likely; 1=least likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q18,1
Food Insecurity,Predictors,InMarketIQ,LT_FOOD_DELIVERY_SERVICE_V2,Likelihood of Ordering from a Food Delivery Service Weekly (Finished Meals) (1=least likely; 7=most likely),This element predicts the likelihood that an individual in the household orders from a food delivery service on a weekly basis on a scale from 1 to 7.,Individual,Individual,1 to 7,Num,1q21,1
Food Insecurity,Predictors,InMarketIQ,LT_FOOD_DELIVERY_SERVICE_V2_Z4,Average Likelihood of Ordering from a Food Delivery Service Weekly (Finished Meals) (1=least likely; 7=most likely),This element predicts the average likelihood that an individual in the Zip+4 orders from a food delivery service on a weekly basis on a scale from 1 to 7. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q21,1
Food Insecurity,Predictors,InMarketIQ,GROCERY_FARMERS_MKT,Likelihood of Purchasing Items from Farmers Market (1=least likely; 7=most likely),This element predicts the likelihood that an individual regularly purchases items from farmers markets on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,4q20,1
Food Insecurity,Predictors,InMarketIQ,GROCERY_FARMERS_MKT_Z4,Average Likelihood of Purchasing Items from Farmers Market (1=least likely; 7=most likely),This element predicts the average likelihood that an individual in the Zip+4 regularly purchases items from farmers markets on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,4q20,1
Food Insecurity,Predictors,InMarketIQ,GROCERY_ORGANIC,Likelihood of Purchasing Organic Foods (1=least likely; 7=most likely),This element predicts the likelihood that an individual prefers to purchase organic foods on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,4q20,1
Food Insecurity,Predictors,InMarketIQ,GROCERY_ORGANIC_Z4,Average Likelihood of Purchasing Organic Foods (1=least likely; 7=most likely),This element predicts the average likelihood that an individual in the Zip+4 prefers to purchase organic foods on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,4q20,1
Food Insecurity,Predictors,InMarketIQ,GROCERY_TRIPS,Likelihood of Visiting Grocery Store Multiple Times Per Week (1=least likely; 7=most likely),This element predicts the likelihood that an individual makes multiple trips to the grocery store per week on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,4q20,1
Food Insecurity,Predictors,InMarketIQ,GROCERY_TRIPS_Z4,Average Likelihood of Visiting Grocery Store Multiple Times Per Week (1=least likely; 7=most likely),This element predicts the average likelihood that an individual in the Zip+4 makes multiple trips to the grocery store per week on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,4q20,1
Access to Care/Health Behaviors,Behaviors,HealthIQ,HW_BMI,Most Likely Body Mass Index Range/Level,"This element indicates the likely BMI for an individual in the household on a scale from 1 to 6 (1 = low BM under 24.9, Normal or Underweight; 2-3 = BMI 25-29.9, Overweight; 4-5 = BMI 30-39.9, Obesity; 6 = BMI 40+, Extreme obesity). State Sensitive Element",Household,Household,1 to 6,Num,2q17,1
Access to Care/Health Behaviors,Behaviors,HealthIQ,HW_BMI_Z4,Most Likely Body Mass Index Range Underweight/Normal Weight (1 = BMI below 24.9) to Extreme Obesity (6 = BMI of 40+),"This element indicates average BMI in the Zip+4 on a scale from 1 to 6. (1 = low BM under 24.9, Normal or Underweight; 2-3 = BMI 25-29.9, Overweight; 4-5 = BMI 30-39.9, Obesity; 6 = BMI 40+, Extreme obesity) Zip+4 Level, State Sensitive Element",Zip+4,Zip+4,1 to 6,Num,2q17,1
Food Insecurity,Behaviors,HealthIQ,HW_DIET,"Likelihood of Lifestyle Diets (Vegan, Vegetarian, Paleo, etc.) (7=very likely; 1=least likely)","This element predicts the likelihood that an individual follows a diet that reflects personal preferences like Vegan, Paleo and Vegetarian. State Sensitive Element",Individual,Household,1 to 7,Num,2q17,1
Food Insecurity,Behaviors,HealthIQ,HW_DIET_Z4,"Likelihood of Lifestyle Diets (Vegan, Vegetarian, Paleo, etc.) (7=very likely; 1=least likely)","This element indicates penetration rate of individuals that follow a diet that reflects personal preferences like Vegan, Paleo and Vegetarian in the Zip+4. Zip+4 Version, State Sensitive Element",Zip+4,Zip+4,1 to 7,Num,2q17,1
Food Insecurity,Behaviors,HealthIQ,DIET_CAGEFREE_EGGS,Likelihood of Choosing Cage-Free Eggs (as opposed to Other Eggs) (1=least likely; 7=most likely),This element predicts the likelihood of an individual choosing cage-free eggs (as opposed to other eggs) on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,3q21,1
Food Insecurity,Behaviors,HealthIQ,DIET_CAGEFREE_EGGS_Z4,Average Likelihood of Choosing Cage-Free Eggs (as opposed to Other Eggs) (1=least likely; 7=most likely),This element predicts the average likelihood of an individual in the Zip+4 area choosing cage-free eggs (as opposed to other eggs) on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q21,1
Food Insecurity,Behaviors,HealthIQ,DIET_FAKE_MEAT_ALT,"Likelihood of Choosing ""Fake"" Meat (as opposed to ""Real"" Meat) (1=least likely; 7=most likely)","This element predicts the likelihood of an individual choosing ""fake"" meat (as opposed to ""real"" meat) on a scale from 1 (least likely) to 7 (most likely).",Individual,Individual,1 to 7,Num,3q21,1
Food Insecurity,Behaviors,HealthIQ,DIET_FAKE_MEAT_ALT_Z4,"Average Likelihood of Choosing ""Fake"" Meat (as opposed to ""Real"" Meat) (1=least likely; 7=most likely)","This element predicts the average likelihood of an individual in the Zip+4 area choosing ""fake"" meat (as opposed to ""real"" meat) on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version",Zip+4,Zip+4,1 to 7,Num,3q21,1
